word,verse,lemma,strongs,morph,morphology,Part of Speech,Tense,Voice,Mood,Person,Number,Case,Gender,xlit,betacode
ταῦτα,1,strong:G5023,G5023,packard:RD-NPN,RD-NPN,Demonstrative Pronoun,,,,,Plural,Nominative,Neuter,betacode:TAU=TA,TAU=TA
τὰ,1,strong:G3588,G3588,packard:RA-NPN,RA-NPN,Article,,,,,Plural,Nominative,Neuter,betacode:TA\,TA\
ὀνόματα,1,strong:G3686,G3686,packard:N3M-NPN,N3M-NPN,Noun,,,,,Plural,Nominative,Neuter,betacode:O)NO/MATA,O)NO/MATA
τῶν,1,strong:G3588,G3588,packard:RA-GPM,RA-GPM,Article,,,,,Plural,Genitive,Masculine,betacode:TW=N,TW=N
υἱῶν,1,strong:G5207,G5207,packard:N2-GPM,N2-GPM,Noun,,,,,Plural,Genitive,Masculine,betacode:UI(W=N,UI(W=N
Ισραηλ,1,strong:G2474,G2474,packard:N-GSM,N-GSM,Noun,,,,,Singular,Genitive,Masculine,betacode:*ISRAHL,*ISRAHL
τῶν,1,strong:G3588,G3588,packard:RA-GPM,RA-GPM,Article,,,,,Plural,Genitive,Masculine,betacode:TW=N,TW=N
εἰσπεπορευμένων,1,strong:G1531,G1531,packard:VX-XPPGPM,VX-XPPGPM,Verb,Perfect,Passive,Participle,,Plural,Genitive,Masculine,betacode:EI)SPEPOREUME/NWN,EI)SPEPOREUME/NWN
εἰς,1,strong:G1519,G1519,packard:P,P,Preposition,,,,,,,,betacode:EI)S,EI)S
Αἴγυπτον,1,strong:G125,G125,packard:N2-ASF,N2-ASF,Noun,,,,,Singular,Accusative,Feminine,betacode:*AI)/GUPTON,*AI)/GUPTON
ἅμα,1,strong:G260,G260,packard:D,D,Adverb,,,,,,,,betacode:A(/MA,A(/MA
Ιακωβ,1,strong:G2384,G2384,packard:N-DSM,N-DSM,Noun,,,,,Singular,Dative,Masculine,betacode:*IAKWB,*IAKWB
τῷ,1,strong:G3588,G3588,packard:RA-DSM,RA-DSM,Article,,,,,Singular,Dative,Masculine,betacode:TW=|,TW=|
πατρὶ,1,strong:G3962,G3962,packard:N3-DSM,N3-DSM,Noun,,,,,Singular,Dative,Masculine,betacode:PATRI\,PATRI\
αὐτῶν,1,strong:G846,G846,packard:RD-GPM,RD-GPM,Demonstrative Pronoun,,,,,Plural,Genitive,Masculine,betacode:AU)TW=N,AU)TW=N
ἕκαστος,1,strong:G1538,G1538,packard:A1-NSM,A1-NSM,Adjective,,,,,Singular,Nominative,Masculine,betacode:E(/KASTOS,E(/KASTOS
πανοικίᾳ,1,,,packard:N1A-DSF,N1A-DSF,Noun,,,,,Singular,Dative,Feminine,betacode:PANOIKI/A|,PANOIKI/A|
αὐτῶν,1,strong:G846,G846,packard:RD-GPM,RD-GPM,Demonstrative Pronoun,,,,,Plural,Genitive,Masculine,betacode:AU)TW=N,AU)TW=N
εἰσήλθοσαν,1,,,packard:VBI-AAI3P,VBI-AAI3P,Verb,Aorist,Active,Indicative,3,Plural,,,betacode:EI)SH/LQOSAN,EI)SH/LQOSAN
Ρουβην,2,,,packard:N-NSM,N-NSM,Noun,,,,,Singular,Nominative,Masculine,betacode:*ROUBHN,*ROUBHN
Συμεων,2,,,packard:N-NSM,N-NSM,Noun,,,,,Singular,Nominative,Masculine,betacode:*SUMEWN,*SUMEWN
Λευι,2,,,packard:N-NSM,N-NSM,Noun,,,,,Singular,Nominative,Masculine,betacode:*LEUI,*LEUI
Ιουδας,2,strong:G2455,G2455,packard:N-NSM,N-NSM,Noun,,,,,Singular,Nominative,Masculine,betacode:*IOUDAS,*IOUDAS
Ισσαχαρ,3,,,packard:N-NSM,N-NSM,Noun,,,,,Singular,Nominative,Masculine,betacode:*ISSAXAR,*ISSAXAR
Ζαβουλων,3,,,packard:N-NSM,N-NSM,Noun,,,,,Singular,Nominative,Masculine,betacode:*ZABOULWN,*ZABOULWN
καὶ,3,strong:G2532,G2532,packard:C,C,Conjunction,,,,,,,,betacode:KAI\,KAI\
Βενιαμιν,3,strong:G958,G958,packard:N-NSM,N-NSM,Noun,,,,,Singular,Nominative,Masculine,betacode:*BENIAMIN,*BENIAMIN
Δαν,4,,,packard:N-NSM,N-NSM,Noun,,,,,Singular,Nominative,Masculine,betacode:*DAN,*DAN
καὶ,4,strong:G2532,G2532,packard:C,C,Conjunction,,,,,,,,betacode:KAI\,KAI\
Νεφθαλι,4,,,packard:N-NSM,N-NSM,Noun,,,,,Singular,Nominative,Masculine,betacode:*NEFQALI,*NEFQALI
Γαδ,4,,,packard:N-NSM,N-NSM,Noun,,,,,Singular,Nominative,Masculine,betacode:*GAD,*GAD
καὶ,4,strong:G2532,G2532,packard:C,C,Conjunction,,,,,,,,betacode:KAI\,KAI\
Ασηρ,4,,,packard:N-NSM,N-NSM,Noun,,,,,Singular,Nominative,Masculine,betacode:*ASHR,*ASHR
Ιωσηφ,5,,,packard:N-NSM,N-NSM,Noun,,,,,Singular,Nominative,Masculine,betacode:*IWSHF,*IWSHF
δὲ,5,strong:G1161,G1161,packard:X,X,Particle,,,,,,,,betacode:DE\,DE\
ἦν,5,strong:G1510,G1510,packard:V9-IAI3S,V9-IAI3S,Verb,Imperfect,Active,Indicative,3,Singular,,,betacode:H)=N,H)=N
ἐν,5,strong:G1722,G1722,packard:P,P,Preposition,,,,,,,,betacode:E)N,E)N
Αἰγύπτῳ,5,strong:G125,G125,packard:N2-DSF,N2-DSF,Noun,,,,,Singular,Dative,Feminine,betacode:*AI)GU/PTW|,*AI)GU/PTW|
ἦσαν,5,strong:G1510,G1510,packard:V9-IAI3P,V9-IAI3P,Verb,Imperfect,Active,Indicative,3,Plural,,,betacode:H)=SAN,H)=SAN
δὲ,5,strong:G1161,G1161,packard:X,X,Particle,,,,,,,,betacode:DE\,DE\
πᾶσαι,5,strong:G3956,G3956,packard:A1S-NPF,A1S-NPF,Adjective,,,,,Plural,Nominative,Feminine,betacode:PA=SAI,PA=SAI
ψυχαὶ,5,strong:G5590,G5590,packard:N1-NPF,N1-NPF,Noun,,,,,Plural,Nominative,Feminine,betacode:YUXAI\,YUXAI\
ἐξ,5,strong:G1537,G1537,packard:P,P,Preposition,,,,,,,,betacode:E)C,E)C
Ιακωβ,5,strong:G2384,G2384,packard:N-GSM,N-GSM,Noun,,,,,Singular,Genitive,Masculine,betacode:*IAKWB,*IAKWB
πέντε,5,strong:G4002,G4002,packard:M,M,Numeral,,,,,,,,betacode:PE/NTE,PE/NTE
καὶ,5,strong:G2532,G2532,packard:C,C,Conjunction,,,,,,,,betacode:KAI\,KAI\
ἑβδομήκοντα,5,strong:G1440,G1440,packard:M,M,Numeral,,,,,,,,betacode:E(BDOMH/KONTA,E(BDOMH/KONTA
ἐτελεύτησεν,6,strong:G5053,G5053,packard:VAI-AAI3S,VAI-AAI3S,Verb,Aorist,Active,Indicative,3,Singular,,,betacode:E)TELEU/THSEN,E)TELEU/THSEN
δὲ,6,strong:G1161,G1161,packard:X,X,Particle,,,,,,,,betacode:DE\,DE\
Ιωσηφ,6,,,packard:N-NSM,N-NSM,Noun,,,,,Singular,Nominative,Masculine,betacode:*IWSHF,*IWSHF
καὶ,6,strong:G2532,G2532,packard:C,C,Conjunction,,,,,,,,betacode:KAI\,KAI\
πάντες,6,strong:G3956,G3956,packard:A3-NPM,A3-NPM,Adjective,,,,,Plural,Nominative,Masculine,betacode:PA/NTES,PA/NTES
οἱ,6,strong:G3588,G3588,packard:RA-NPM,RA-NPM,Article,,,,,Plural,Nominative,Masculine,betacode:OI(,OI(
ἀδελφοὶ,6,strong:G80,G80,packard:N2-NPM,N2-NPM,Noun,,,,,Plural,Nominative,Masculine,betacode:A)DELFOI\,A)DELFOI\
αὐτοῦ,6,strong:G846,G846,packard:RD-GSM,RD-GSM,Demonstrative Pronoun,,,,,Singular,Genitive,Masculine,betacode:AU)TOU=,AU)TOU=
καὶ,6,strong:G2532,G2532,packard:C,C,Conjunction,,,,,,,,betacode:KAI\,KAI\
πᾶσα,6,strong:G3956,G3956,packard:A1S-NSF,A1S-NSF,Adjective,,,,,Singular,Nominative,Feminine,betacode:PA=SA,PA=SA
ἡ,6,strong:G3588,G3588,packard:RA-NSF,RA-NSF,Article,,,,,Singular,Nominative,Feminine,betacode:H(,H(
γενεὰ,6,strong:G1074,G1074,packard:N1A-NSF,N1A-NSF,Noun,,,,,Singular,Nominative,Feminine,betacode:GENEA\,GENEA\
ἐκείνη,6,strong:G1565,G1565,packard:RD-NSF,RD-NSF,Demonstrative Pronoun,,,,,Singular,Nominative,Feminine,betacode:E)KEI/NH,E)KEI/NH
οἱ,7,strong:G3588,G3588,packard:RA-NPM,RA-NPM,Article,,,,,Plural,Nominative,Masculine,betacode:OI(,OI(
δὲ,7,strong:G1161,G1161,packard:X,X,Particle,,,,,,,,betacode:DE\,DE\
υἱοὶ,7,strong:G5207,G5207,packard:N2-NPM,N2-NPM,Noun,,,,,Plural,Nominative,Masculine,betacode:UI(OI\,UI(OI\
Ισραηλ,7,strong:G2474,G2474,packard:N-GSM,N-GSM,Noun,,,,,Singular,Genitive,Masculine,betacode:*ISRAHL,*ISRAHL
ηὐξήθησαν,7,strong:G837,G837,packard:VCI-API3P,VCI-API3P,Verb,Aorist,Passive,Indicative,3,Plural,,,betacode:HU)CH/QHSAN,HU)CH/QHSAN
καὶ,7,strong:G2532,G2532,packard:C,C,Conjunction,,,,,,,,betacode:KAI\,KAI\
ἐπληθύνθησαν,7,strong:G4129,G4129,packard:VCI-API3P,VCI-API3P,Verb,Aorist,Passive,Indicative,3,Plural,,,betacode:E)PLHQU/NQHSAN,E)PLHQU/NQHSAN
καὶ,7,strong:G2532,G2532,packard:C,C,Conjunction,,,,,,,,betacode:KAI\,KAI\
χυδαῖοι,7,,,packard:A1B-NPM,A1B-NPM,Adjective,,,,,Plural,Nominative,Masculine,betacode:XUDAI=OI,XUDAI=OI
ἐγένοντο,7,,,packard:VBI-AMI3P,VBI-AMI3P,Verb,Aorist,Middle,Indicative,3,Plural,,,betacode:E)GE/NONTO,E)GE/NONTO
καὶ,7,strong:G2532,G2532,packard:C,C,Conjunction,,,,,,,,betacode:KAI\,KAI\
κατίσχυον,7,,,packard:V1-IAI3P,V1-IAI3P,Verb,Imperfect,Active,Indicative,3,Plural,,,betacode:KATI/SXUON,KATI/SXUON
σφόδρα,7,strong:G4970,G4970,packard:D,D,Adverb,,,,,,,,betacode:SFO/DRA,SFO/DRA
σφόδρα,7,strong:G4970,G4970,packard:D,D,Adverb,,,,,,,,betacode:SFO/DRA,SFO/DRA
ἐπλήθυνεν,7,strong:G4129,G4129,packard:VAI-AAI3S,VAI-AAI3S,Verb,Aorist,Active,Indicative,3,Singular,,,betacode:E)PLH/QUNEN,E)PLH/QUNEN
δὲ,7,strong:G1161,G1161,packard:X,X,Particle,,,,,,,,betacode:DE\,DE\
ἡ,7,strong:G3588,G3588,packard:RA-NSF,RA-NSF,Article,,,,,Singular,Nominative,Feminine,betacode:H(,H(
γῆ,7,strong:G1093,G1093,packard:N1-NSF,N1-NSF,Noun,,,,,Singular,Nominative,Feminine,betacode:GH=,GH=
αὐτούς,7,strong:G846,G846,packard:RD-APM,RD-APM,Demonstrative Pronoun,,,,,Plural,Accusative,Masculine,betacode:AU)TOU/S,AU)TOU/S
ἀνέστη,8,strong:G450,G450,packard:VHI-AAI3S,VHI-AAI3S,Verb,Aorist,Active,Indicative,3,Singular,,,betacode:A)NE/STH,A)NE/STH
δὲ,8,strong:G1161,G1161,packard:X,X,Particle,,,,,,,,betacode:DE\,DE\
βασιλεὺς,8,strong:G935,G935,packard:N3V-NSM,N3V-NSM,Noun,,,,,Singular,Nominative,Masculine,betacode:BASILEU\S,BASILEU\S
ἕτερος,8,strong:G2087,G2087,packard:A1A-NSM,A1A-NSM,Adjective,,,,,Singular,Nominative,Masculine,betacode:E(/TEROS,E(/TEROS
ἐπ’,8,strong:G1909,G1909,packard:P,P,Preposition,,,,,,,,betacode:E)P',E)P'
Αἴγυπτον,8,strong:G125,G125,packard:N2-ASF,N2-ASF,Noun,,,,,Singular,Accusative,Feminine,betacode:*AI)/GUPTON,*AI)/GUPTON
ὃς,8,strong:G3739,G3739,packard:RR-NSM,RR-NSM,Relative Pronoun,,,,,Singular,Nominative,Masculine,betacode:O(\S,O(\S
οὐκ,8,strong:G3756,G3756,packard:D,D,Adverb,,,,,,,,betacode:OU)K,OU)K
ᾔδει,8,strong:G1492,G1492,packard:VXI-YAI3S,VXI-YAI3S,Verb,Pluperfect,Active,Indicative,3,Singular,,,betacode:H)/|DEI,H)/|DEI
τὸν,8,strong:G3588,G3588,packard:RA-ASM,RA-ASM,Article,,,,,Singular,Accusative,Masculine,betacode:TO\N,TO\N
Ιωσηφ,8,,,packard:N-ASM,N-ASM,Noun,,,,,Singular,Accusative,Masculine,betacode:*IWSHF,*IWSHF
εἶπεν,9,strong:G2036,G2036,packard:VBI-AAI3S,VBI-AAI3S,Verb,Aorist,Active,Indicative,3,Singular,,,betacode:EI)=PEN,EI)=PEN
δὲ,9,strong:G1161,G1161,packard:X,X,Particle,,,,,,,,betacode:DE\,DE\
τῷ,9,strong:G3588,G3588,packard:RA-DSN,RA-DSN,Article,,,,,Singular,Dative,Neuter,betacode:TW=|,TW=|
ἔθνει,9,strong:G1484,G1484,packard:N3E-DSN,N3E-DSN,Noun,,,,,Singular,Dative,Neuter,betacode:E)/QNEI,E)/QNEI
αὐτοῦ,9,strong:G846,G846,packard:RD-GSM,RD-GSM,Demonstrative Pronoun,,,,,Singular,Genitive,Masculine,betacode:AU)TOU=,AU)TOU=
ἰδοὺ,9,strong:G2400,G2400,packard:I,I,Interjection,,,,,,,,betacode:I)DOU\,I)DOU\
τὸ,9,strong:G3588,G3588,packard:RA-NSN,RA-NSN,Article,,,,,Singular,Nominative,Neuter,betacode:TO\,TO\
γένος,9,strong:G1085,G1085,packard:N3E-NSN,N3E-NSN,Noun,,,,,Singular,Nominative,Neuter,betacode:GE/NOS,GE/NOS
τῶν,9,strong:G3588,G3588,packard:RA-GPM,RA-GPM,Article,,,,,Plural,Genitive,Masculine,betacode:TW=N,TW=N
υἱῶν,9,strong:G5207,G5207,packard:N2-GPM,N2-GPM,Noun,,,,,Plural,Genitive,Masculine,betacode:UI(W=N,UI(W=N
Ισραηλ,9,strong:G2474,G2474,packard:N-GSM,N-GSM,Noun,,,,,Singular,Genitive,Masculine,betacode:*ISRAHL,*ISRAHL
μέγα,9,strong:G3173,G3173,packard:A1P-NSN,A1P-NSN,Adjective,,,,,Singular,Nominative,Neuter,betacode:ME/GA,ME/GA
πλῆθος,9,strong:G4128,G4128,packard:N3E-NSN,N3E-NSN,Noun,,,,,Singular,Nominative,Neuter,betacode:PLH=QOS,PLH=QOS
καὶ,9,strong:G2532,G2532,packard:C,C,Conjunction,,,,,,,,betacode:KAI\,KAI\
ἰσχύει,9,strong:G2480,G2480,packard:V1-PAI3S,V1-PAI3S,Verb,Present,Active,Indicative,3,Singular,,,betacode:I)SXU/EI,I)SXU/EI
