LXX,WLC
1,1
ταῦτα,
τὰ,
ὀνόματα,
τῶν,
υἱῶν,
Ισραηλ,
τῶν,
εἰσπεπορευμένων,
εἰς,וְאֵ֗לֶּה
Αἴγυπτον,שְׁמוֹת֙
ἅμα,בְּנֵ֣י
Ιακωβ,יִשְׂרָאֵ֔ל
τῷ,הַבָּאִ֖ים
πατρὶ,מִצְרָ֑יְמָה
αὐτῶν,אֵ֣ת
ἕκαστος,יַעֲקֹ֔ב
πανοικίᾳ,אִ֥ישׁ
αὐτῶν,וּבֵית֖וֹ
εἰσήλθοσαν,בָּֽאוּ
2,2
Ρουβην,רְאוּבֵ֣ן
Συμεων,שִׁמְע֔וֹן
Λευι,לֵוִ֖י
Ιουδας,וִיהוּדָֽה
3,3
Ισσαχαρ,
Ζαβουλων,יִשָּׂשכָ֥ר
καὶ,זְבוּלֻ֖ן
Βενιαμιν,וּבְנְיָמִֽן
4,4
Δαν,
καὶ,
Νεφθαλι,דָּ֥ן
Γαδ,וְנַפְתָּלִ֖י
καὶ,גָּ֥ד
Ασηρ,וְאָשֵֽׁר
5,5
Ιωσηφ,
δὲ,
ἦν,
ἐν,וַֽיְהִ֗י
Αἰγύπτῳ,כָּל
ἦσαν,נֶ֛פֶשׁ
δὲ,יֹצְאֵ֥י
πᾶσαι,יֶֽרֶךְ
ψυχαὶ,יַעֲקֹ֖ב
ἐξ,שִׁבְעִ֣ים
Ιακωβ,נָ֑פֶשׁ
πέντε,וְיוֹסֵ֖ף
καὶ,הָיָ֥ה
ἑβδομήκοντα,בְמִצְרָֽיִם
6,6
ἐτελεύτησεν,
δὲ,
Ιωσηφ,
καὶ,
πάντες,
οἱ,
ἀδελφοὶ,וַיָּ֤מָת
αὐτοῦ,יוֹסֵף֙
καὶ,וְכָל
πᾶσα,אֶחָ֔יו
ἡ,וְכֹ֖ל
γενεὰ,הַדּ֥וֹר
ἐκείνη,הַהֽוּא
7,7
οἱ,
δὲ,
υἱοὶ,
Ισραηλ,
ηὐξήθησαν,
καὶ,
ἐπληθύνθησαν,
καὶ,
χυδαῖοι,וּבְנֵ֣י
ἐγένοντο,יִשְׂרָאֵ֗ל
καὶ,פָּר֧וּ
κατίσχυον,וַֽיִּשְׁרְצ֛וּ
σφόδρα,וַיִּרְבּ֥וּ
σφόδρα,וַיַּֽעַצְמ֖וּ
ἐπλήθυνεν,בִּמְאֹ֣ד
δὲ,מְאֹ֑ד
ἡ,וַתִּמָּלֵ֥א
γῆ,הָאָ֖רֶץ
αὐτούς,אֹתָֽם
8,8
ἀνέστη,
δὲ,וַיָּ֥קָם
βασιλεὺς,מֶֽלֶךְ
ἕτερος,חָדָ֖שׁ
ἐπ’,עַל
Αἴγυπτον,מִצְרָ֑יִם
ὃς,אֲשֶׁ֥ר
οὐκ,לֹֽא
ᾔδει,יָדַ֖ע
τὸν,אֶת
Ιωσηφ,יוֹסֵֽף
9,9
εἶπεν,
δὲ,
τῷ,
ἔθνει,
αὐτοῦ,
ἰδοὺ,
τὸ,
γένος,וַיֹּ֖אמֶר
τῶν,אֶל
υἱῶν,עַמּ֑וֹ
Ισραηλ,הִנֵּ֗ה
μέγα,עַ֚ם
πλῆθος,בְּנֵ֣י
καὶ,יִשְׂרָאֵ֔ל
ἰσχύει,רַ֥ב
ὑπὲρ,וְעָצ֖וּם
ἡμᾶς,מִמֶּֽנּוּ
10,10
δεῦτε,
οὖν,
κατασοφισώμεθα,
αὐτούς,
μήποτε,
πληθυνθῇ,
καί,הָ֥בָה
ἡνίκα,נִֽתְחַכְּמָ֖ה
ἂν,ל֑וֹ
συμβῇ,פֶּן
ἡμῖν,יִרְבֶּ֗ה
πόλεμος,וְהָיָ֞ה
προστεθήσονται,כִּֽי
καὶ,תִקְרֶ֤אנָה
