LXX,LXX_lemma,LXX_strongs,LXX_morph,LXX_morphology,LXX_Part of Speech,LXX_Tense,LXX_Voice,LXX_Mood,LXX_Person,LXX_Number,LXX_Case,LXX_Gender,LXX_xlit,LXX_betacode,WLC,WLC_lemma,WLC_strongs,WLC_morph,WLC_morphology,WLC_Part of Speech,WLC_Tense,WLC_Voice,WLC_Mood,WLC_Person,WLC_Number,WLC_Case,WLC_Gender,WLC_xlit,WLC_betacode
1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
καὶ,strong:G2532,G2532,packard:C,C,Conjunction,,,,,,,,betacode:KAI\,KAI\,,,,,,,,,,,,,,,
ἐλάλησεν,strong:G2980,G2980,packard:VAI-AAI3S,VAI-AAI3S,Verb,Aorist,Active,Indicative,3,Singular,,,betacode:E)LA/LHSEN,E)LA/LHSEN,וַיְדַבֵּ֥ר,c/1696,H1696,HC/Vpw3ms,HC/Vpw3ms,Verb,Sequential imperfect,Piel,Indicative,3,Singular,,Masculine,,
κύριος,strong:G2962,G2962,packard:N2-NSM,N2-NSM,Noun,,,,,Singular,Nominative,Masculine,betacode:KU/RIOS,KU/RIOS,יְהוָ֖ה,3068,H3068,HNp,HNp,Noun (Proper name),,,,,,,,,
πρὸς,strong:G4314,G4314,packard:P,P,Preposition,,,,,,,,betacode:PRO\S,PRO\S,אֶל,413,H413,HR,HR,Preposition,,,,,,,,,
Μωυσῆν,,,packard:N1M-ASM,N1M-ASM,Noun,,,,,Singular,Accusative,Masculine,betacode:*MWUSH=N,*MWUSH=N,מֹשֶׁ֥ה,4872,H4872,HNp,HNp,Noun (Proper name),,,,,,,,,
λέγων,strong:G3004,G3004,packard:V1-PAPNSM,V1-PAPNSM,Verb,Present,Active,Participle,,Singular,Nominative,Masculine,betacode:LE/GWN,LE/GWN,לֵּאמֹֽר,l/559,H559,HR/Vqc,HR/Vqc,Verb,Infinitive construct,Qal,Infinitive,,,,,,
2,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,
εἰπὸν,strong:G3004,G3004,packard:VB-AAD2S,VB-AAD2S,Verb,Aorist,Active,Imperative,2,Singular,,,betacode:EI)PO\N,EI)PO\N,,,,,,,,,,,,,,,
τοῖς,strong:G3588,G3588,packard:RA-DPM,RA-DPM,Article,,,,,Plural,Dative,Masculine,betacode:TOI=S,TOI=S,,,,,,,,,,,,,,,
υἱοῖς,strong:G5207,G5207,packard:N2-DPM,N2-DPM,Noun,,,,,Plural,Dative,Masculine,betacode:UI(OI=S,UI(OI=S,,,,,,,,,,,,,,,
Ισραηλ,strong:G2474,G2474,packard:N-GSM,N-GSM,Noun,,,,,Singular,Genitive,Masculine,betacode:*ISRAHL,*ISRAHL,,,,,,,,,,,,,,,
καὶ,strong:G2532,G2532,packard:C,C,Conjunction,,,,,,,,betacode:KAI\,KAI\,דַּבֵּר֙,1696,H1696,HVpv2ms,HVpv2ms,Verb,Imperative,Piel,Imperative,2,Singular,,Masculine,,
λάβετέ,strong:G2983,G2983,packard:VB-AAD2P,VB-AAD2P,Verb,Aorist,Active,Imperative,2,Plural,,,betacode:LA/BETE/,LA/BETE/,אֶל,413,H413,HR,HR,Preposition,,,,,,,,,
μοι,strong:G3427,G3427,packard:RP-DS,RP-DS,Personal/Possessive Pronoun,,,,,Singular,Dative,,betacode:MOI,MOI,בְּנֵ֣י,1121 a,H1121,HNcmpc,HNcmpc,Noun (Common),,,,,Plural,Construct,Masculine,,
ἀπαρχὰς,strong:G536,G536,packard:N1-APF,N1-APF,Noun,,,,,Plural,Accusative,Feminine,betacode:A)PARXA\S,A)PARXA\S,יִשְׂרָאֵ֔ל,3478,H3478,HNp,HNp,Noun (Proper name),,,,,,,,,
παρὰ,strong:G3844,G3844,packard:P,P,Preposition,,,,,,,,betacode:PARA\,PARA\,וְיִקְחוּ,c/3947,H3947,HC/Vqj3mp,HC/Vqj3mp,Verb,Jussive,Qal,Jussive,3,Plural,,Masculine,,
πάντων,strong:G3956,G3956,packard:A3-GPM,A3-GPM,Adjective,,,,,Plural,Genitive,Masculine,betacode:PA/NTWN,PA/NTWN,לִ֖י,l,,HR/Sp1cs,HR/Sp1cs,Suffix (Pronominal),,,,1,Singular,,Common,,
οἷς,strong:G3739,G3739,packard:RR-DPM,RR-DPM,Relative Pronoun,,,,,Plural,Dative,Masculine,betacode:OI(=S,OI(=S,תְּרוּמָ֑ה,8641,H8641,HNcfsa,HNcfsa,Noun (Common),,,,,Singular,Absolute,Feminine,,
ἂν,strong:G302,G302,packard:X,X,Particle,,,,,,,,betacode:A)\N,A)\N,מֵאֵ֤ת,m/854,H854,HR/R,HR/R,Preposition,,,,,,,,,
δόξῃ,strong:G1391,G1391,packard:VA-AAS3S,VA-AAS3S,Verb,Aorist,Active,Subjunctive,3,Singular,,,betacode:DO/CH|,DO/CH|,כָּל,3605,H3605,HNcmsc,HNcmsc,Noun (Common),,,,,Singular,Construct,Masculine,,
τῇ,strong:G3588,G3588,packard:RA-DSF,RA-DSF,Article,,,,,Singular,Dative,Feminine,betacode:TH=|,TH=|,אִישׁ֙,376,H376,HNcmsa,HNcmsa,Noun (Common),,,,,Singular,Absolute,Masculine,,
καρδίᾳ,strong:G2588,G2588,packard:N1A-DSF,N1A-DSF,Noun,,,,,Singular,Dative,Feminine,betacode:KARDI/A|,KARDI/A|,אֲשֶׁ֣ר,834 a,H834,HTr,HTr,Particle (Relative),,,,,,,,,
καὶ,strong:G2532,G2532,packard:C,C,Conjunction,,,,,,,,betacode:KAI\,KAI\,יִדְּבֶ֣נּוּ,5068,H5068,HVqi3ms/Sp3ms,HVqi3ms/Sp3ms,Suffix (Pronominal),Imperfect,Qal,Indicative,3,Singular,,Masculine,,
λήμψεσθε,strong:G2983,G2983,packard:VF-FMI2P,VF-FMI2P,Verb,Future,Middle,Indicative,2,Plural,,,betacode:LH/MYESQE,LH/MYESQE,לִבּ֔וֹ,3820 a,H3820,HNcmsc/Sp3ms,HNcmsc/Sp3ms,Suffix (Pronominal),,,,3,Singular,Construct,Masculine,,
τὰς,strong:G3588,G3588,packard:RA-APF,RA-APF,Article,,,,,Plural,Accusative,Feminine,betacode:TA\S,TA\S,תִּקְח֖וּ,3947,H3947,HVqi2mp,HVqi2mp,Verb,Imperfect,Qal,Indicative,2,Plural,,Masculine,,
ἀπαρχάς,strong:G536,G536,packard:N1-APF,N1-APF,Noun,,,,,Plural,Accusative,Feminine,betacode:A)PARXA/S,A)PARXA/S,אֶת,853,H853,HTo,HTo,Particle (Direct object marker),,,,,,,,,
μου,strong:G3450,G3450,packard:RP-GS,RP-GS,Personal/Possessive Pronoun,,,,,Singular,Genitive,,betacode:MOU,MOU,תְּרוּמָתִֽי,8641,H8641,HNcfsc/Sp1cs,HNcfsc/Sp1cs,Suffix (Pronominal),,,,1,Singular,Construct,Common,,
3,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,
καὶ,strong:G2532,G2532,packard:C,C,Conjunction,,,,,,,,betacode:KAI\,KAI\,,,,,,,,,,,,,,,
αὕτη,strong:G846,G846,packard:RD-NSF,RD-NSF,Demonstrative Pronoun,,,,,Singular,Nominative,Feminine,betacode:AU(/TH,AU(/TH,,,,,,,,,,,,,,,
ἐστὶν,strong:G2076,G2076,packard:V9-PAI3S,V9-PAI3S,Verb,Present,Active,Indicative,3,Singular,,,betacode:E)STI\N,E)STI\N,,,,,,,,,,,,,,,
ἡ,strong:G3588,G3588,packard:RA-NSF,RA-NSF,Article,,,,,Singular,Nominative,Feminine,betacode:H(,H(,,,,,,,,,,,,,,,
ἀπαρχή,strong:G536,G536,packard:N1-NSF,N1-NSF,Noun,,,,,Singular,Nominative,Feminine,betacode:A)PARXH/,A)PARXH/,,,,,,,,,,,,,,,
