word,verse,lemma,strongs,morph,morphology,Part of Speech,Tense,Voice,Mood,Person,Number,Case,Gender,xlit,betacode
וְאֵ֗לֶּה,1,c/428,H428,HC/Pdxcp,HC/Pdxcp,Pronoun (Demonstrative),,,,x,Plural,,Common,,
שְׁמוֹת֙,1,8034,H8034,HNcmpc,HNcmpc,Noun (Common),,,,,Plural,Construct,Masculine,,
בְּנֵ֣י,1,1121 a,H1121,HNcmpc,HNcmpc,Noun (Common),,,,,Plural,Construct,Masculine,,
יִשְׂרָאֵ֔ל,1,3478,H3478,HNp,HNp,Noun (Proper name),,,,,,,,,
הַבָּאִ֖ים,1,d/935,H935,HTd/Vqrmpa,HTd/Vqrmpa,Verb,Participle active,Qal,Participle,,Plural,Absolute,Masculine,,
מִצְרָ֑יְמָה,1,4714,H4714,HNp/Sd,HNp/Sd,Suffix,,,,,,,,,
אֵ֣ת,1,854,H854,HR,HR,Preposition,,,,,,,,,
יַעֲקֹ֔ב,1,3290,H3290,HNp,HNp,Noun (Proper name),,,,,,,,,
אִ֥ישׁ,1,376,H376,HNcmsa,HNcmsa,Noun (Common),,,,,Singular,Absolute,Masculine,,
וּבֵית֖וֹ,1,c/1004 b,H1004,HC/Ncmsc/Sp3ms,HC/Ncmsc/Sp3ms,Suffix (Pronominal),,,,3,Singular,Construct,Masculine,,
בָּֽאוּ,1,935,H935,HVqp3cp,HVqp3cp,Verb,Perfect,Qal,Indicative,3,Plural,,Common,,
רְאוּבֵ֣ן,2,7205,H7205,HNp,HNp,Noun (Proper name),,,,,,,,,
שִׁמְע֔וֹן,2,8095,H8095,HNp,HNp,Noun (Proper name),,,,,,,,,
לֵוִ֖י,2,3878,H3878,HNp,HNp,Noun (Proper name),,,,,,,,,
וִיהוּדָֽה,2,c/3063,H3063,HC/Np,HC/Np,Noun (Proper name),,,,,,,,,
יִשָּׂשכָ֥ר,3,3485,H3485,HNp,HNp,Noun (Proper name),,,,,,,,,
זְבוּלֻ֖ן,3,2074,H2074,HNp,HNp,Noun (Proper name),,,,,,,,,
וּבְנְיָמִֽן,3,c/1144,H1144,HC/Np,HC/Np,Noun (Proper name),,,,,,,,,
דָּ֥ן,4,1835,H1835,HNp,HNp,Noun (Proper name),,,,,,,,,
וְנַפְתָּלִ֖י,4,c/5321,H5321,HC/Np,HC/Np,Noun (Proper name),,,,,,,,,
גָּ֥ד,4,1410,H1410,HNp,HNp,Noun (Proper name),,,,,,,,,
וְאָשֵֽׁר,4,c/836,H836,HC/Np,HC/Np,Noun (Proper name),,,,,,,,,
וַֽיְהִ֗י,5,c/1961,H1961,HC/Vqw3ms,HC/Vqw3ms,Verb,Sequential imperfect,Qal,Indicative,3,Singular,,Masculine,,
כָּל,5,3605,H3605,HNcmsc,HNcmsc,Noun (Common),,,,,Singular,Construct,Masculine,,
נֶ֛פֶשׁ,5,5315,H5315,HNcbsc,HNcbsc,Noun (Common),,,,,Singular,Construct,Both,,
יֹצְאֵ֥י,5,3318,H3318,HVqrmpc,HVqrmpc,Verb,Participle active,Qal,Participle,,Plural,Construct,Masculine,,
יֶֽרֶךְ,5,3409,H3409,HNcfsc,HNcfsc,Noun (Common),,,,,Singular,Construct,Feminine,,
יַעֲקֹ֖ב,5,3290,H3290,HNp,HNp,Noun (Proper name),,,,,,,,,
שִׁבְעִ֣ים,5,7657,H7657,HAcbpa,HAcbpa,Adjective,,,,,Plural,Absolute,Both,,
נָ֑פֶשׁ,5,5315,H5315,HNcbsa,HNcbsa,Noun (Common),,,,,Singular,Absolute,Both,,
וְיוֹסֵ֖ף,5,c/3130,H3130,HC/Np,HC/Np,Noun (Proper name),,,,,,,,,
הָיָ֥ה,5,1961,H1961,HVqp3ms,HVqp3ms,Verb,Perfect,Qal,Indicative,3,Singular,,Masculine,,
בְמִצְרָֽיִם,5,b/4714,H4714,HR/Np,HR/Np,Noun (Proper name),,,,,,,,,
וַיָּ֤מָת,6,c/4191,H4191,HC/Vqw3ms,HC/Vqw3ms,Verb,Sequential imperfect,Qal,Indicative,3,Singular,,Masculine,,
יוֹסֵף֙,6,3130,H3130,HNp,HNp,Noun (Proper name),,,,,,,,,
וְכָל,6,c/3605,H3605,HC/Ncmsc,HC/Ncmsc,Noun (Common),,,,,Singular,Construct,Masculine,,
אֶחָ֔יו,6,251,H251,HNcmpc/Sp3ms,HNcmpc/Sp3ms,Suffix (Pronominal),,,,3,Singular,Construct,Masculine,,
וְכֹ֖ל,6,c/3605,H3605,HC/Ncmsc,HC/Ncmsc,Noun (Common),,,,,Singular,Construct,Masculine,,
הַדּ֥וֹר,6,d/1755,H1755,HTd/Ncmsa,HTd/Ncmsa,Noun (Common),,,,,Singular,Absolute,Masculine,,
הַהֽוּא,6,d/1931,H1931,HTd/Pp3ms,HTd/Pp3ms,Pronoun (Personal),,,,3,Singular,,Masculine,,
וּבְנֵ֣י,7,c/1121 a,H1121,HC/Ncmpc,HC/Ncmpc,Noun (Common),,,,,Plural,Construct,Masculine,,
יִשְׂרָאֵ֗ל,7,3478,H3478,HNp,HNp,Noun (Proper name),,,,,,,,,
פָּר֧וּ,7,6509,H6509,HVqp3cp,HVqp3cp,Verb,Perfect,Qal,Indicative,3,Plural,,Common,,
וַֽיִּשְׁרְצ֛וּ,7,c/8317,H8317,HC/Vqw3mp,HC/Vqw3mp,Verb,Sequential imperfect,Qal,Indicative,3,Plural,,Masculine,,
וַיִּרְבּ֥וּ,7,c/7235 a,H7235,HC/Vqw3mp,HC/Vqw3mp,Verb,Sequential imperfect,Qal,Indicative,3,Plural,,Masculine,,
וַיַּֽעַצְמ֖וּ,7,c/6105 a,H6105,HC/Vqw3mp,HC/Vqw3mp,Verb,Sequential imperfect,Qal,Indicative,3,Plural,,Masculine,,
בִּמְאֹ֣ד,7,b/3966,H3966,HR/D,HR/D,Adverb,,,,,,,,,
מְאֹ֑ד,7,3966,H3966,HD,HD,Adverb,,,,,,,,,
וַתִּמָּלֵ֥א,7,c/4390,H4390,HC/VNw3fs,HC/VNw3fs,Verb,Sequential imperfect,Niphal,Indicative,3,Singular,,Feminine,,
הָאָ֖רֶץ,7,d/776,H776,HTd/Ncbsa,HTd/Ncbsa,Noun (Common),,,,,Singular,Absolute,Both,,
אֹתָֽם,7,853,H853,HTo/Sp3mp,HTo/Sp3mp,Suffix (Pronominal),,,,3,Plural,,Masculine,,
וַיָּ֥קָם,8,c/6965 b,H6965,HC/Vqw3ms,HC/Vqw3ms,Verb,Sequential imperfect,Qal,Indicative,3,Singular,,Masculine,,
מֶֽלֶךְ,8,4428,H4428,HNcmsa,HNcmsa,Noun (Common),,,,,Singular,Absolute,Masculine,,
חָדָ֖שׁ,8,2319,H2319,HAamsa,HAamsa,Adjective,,,,,Singular,Absolute,Masculine,,
עַל,8,5921 a,H5921,HR,HR,Preposition,,,,,,,,,
מִצְרָ֑יִם,8,4714,H4714,HNp,HNp,Noun (Proper name),,,,,,,,,
אֲשֶׁ֥ר,8,834 a,H834,HTr,HTr,Particle (Relative),,,,,,,,,
לֹֽא,8,3808,H3808,HTn,HTn,Particle (Negative),,,,,,,,,
יָדַ֖ע,8,3045,H3045,HVqp3ms,HVqp3ms,Verb,Perfect,Qal,Indicative,3,Singular,,Masculine,,
אֶת,8,853,H853,HTo,HTo,Particle (Direct object marker),,,,,,,,,
יוֹסֵֽף,8,3130,H3130,HNp,HNp,Noun (Proper name),,,,,,,,,
וַיֹּ֖אמֶר,9,c/559,H559,HC/Vqw3ms,HC/Vqw3ms,Verb,Sequential imperfect,Qal,Indicative,3,Singular,,Masculine,,
אֶל,9,413,H413,HR,HR,Preposition,,,,,,,,,
עַמּ֑וֹ,9,5971 a,H5971,HNcmsc/Sp3ms,HNcmsc/Sp3ms,Suffix (Pronominal),,,,3,Singular,Construct,Masculine,,
הִנֵּ֗ה,9,2009,H2009,HTm,HTm,Particle (Demonstrative),,,,,,,,,
עַ֚ם,9,5971 a,H5971,HNcmsc,HNcmsc,Noun (Common),,,,,Singular,Construct,Masculine,,
בְּנֵ֣י,9,1121 a,H1121,HNcmpc,HNcmpc,Noun (Common),,,,,Plural,Construct,Masculine,,
יִשְׂרָאֵ֔ל,9,3478,H3478,HNp,HNp,Noun (Proper name),,,,,,,,,
רַ֥ב,9,7227 a,H7227,HAamsa,HAamsa,Adjective,,,,,Singular,Absolute,Masculine,,
וְעָצ֖וּם,9,c/6099,H6099,HC/Aamsa,HC/Aamsa,a,,,,,,,,,
מִמֶּֽנּוּ,9,4480 a,H4480,HR/Sp1cp,HR/Sp1cp,Suffix (Pronominal),,,,1,Plural,,Common,,
הָ֥בָה,10,3051,H3051,HVqv2ms/Sh,HVqv2ms/Sh,Suffix,Imperative,Qal,Imperative,2,Singular,,Masculine,,
נִֽתְחַכְּמָ֖ה,10,2449,H2449,HVth1cp,HVth1cp,Verb,Cohortative,Hithpael,Cohortative,1,Plural,,Common,,
ל֑וֹ,10,l,,HR/Sp3ms,HR/Sp3ms,Suffix (Pronominal),,,,3,Singular,,Masculine,,
פֶּן,10,6435,H6435,HC,HC,Conjunction,,,,,,,,,
יִרְבֶּ֗ה,10,7235 a,H7235,HVqi3ms,HVqi3ms,Verb,Imperfect,Qal,Indicative,3,Singular,,Masculine,,
וְהָיָ֞ה,10,c/1961,H1961,HC/Vqq3ms,HC/Vqq3ms,Verb,Sequential perfect,Qal,Indicative,3,Singular,,Masculine,,
כִּֽי,10,3588 a,H3588,HC,HC,Conjunction,,,,,,,,,
תִקְרֶ֤אנָה,10,7122,H7122,HVqi3fp,HVqi3fp,Verb,Imperfect,Qal,Indicative,3,Plural,,Feminine,,
מִלְחָמָה֙,10,4421,H4421,HNcfsa,HNcfsa,Noun (Common),,,,,Singular,Absolute,Feminine,,
