heb1.txt,sept1.txt
1,1
,Καὶ
,ἐλάλησεν
וַיְדַבֵּ֥ר,κύριος
יְהוָ֖ה,πρὸς
אֶל־מֹשֶׁ֥ה,Μωυσῆν
לֵּאמֹֽר׃,λέγων
2,2
,Εἰπὸν
,τοῖς
,υἱοῖς
,"Ισραηλ,"
,καὶ
,λάβετέ
,μοι
,ἀπαρχὰς
דַּבֵּר֙,παρὰ
אֶל־בְּנֵ֣י,"πάντων,"
יִשְׂרָאֵ֔ל,οἷς
וְיִקְחוּ־לִ֖י,ἂν
תְּרוּמָ֑ה,δόξῃ
מֵאֵ֤ת,τῇ
כָּל־אִישׁ֙,"καρδίᾳ,"
אֲשֶׁ֣ר,καὶ
יִדְּבֶ֣נּוּ,λήμψεσθε
לִבּ֔וֹ,τὰς
תִּקְח֖וּ,ἀπαρχάς
אֶת־תְּרוּמָתִֽי׃,μου.
3,3
,καὶ
,αὕτη
,ἐστὶν
,ἡ
,"ἀπαρχή,"
,ἣν
וְזֹאת֙,λήμψεσθε
הַתְּרוּמָ֔ה,παρ᾽
אֲשֶׁ֥ר,αὐτῶν·
תִּקְח֖וּ,χρυσίον
מֵאִתָּ֑ם,καὶ
זָהָ֥ב,ἀργύριον
וָכֶ֖סֶף,καὶ
וּנְחֹֽשֶׁת׃,χαλκὸν
4,4
,καὶ
,ὑάκινθον
,καὶ
,πορφύραν
,καὶ
,κόκκινον
,διπλοῦν
וּתְכֵ֧לֶת,καὶ
וְאַרְגָּמָ֛ן,βύσσον
וְתוֹלַ֥עַת,κεκλωσμένην
שָׁנִ֖י,καὶ
וְשֵׁ֥שׁ,τρίχας
וְעִזִּֽים׃,αἰγείας
5,5
,καὶ
,δέρματα
,κριῶν
וְעֹרֹ֨ת,ἠρυθροδανωμένα
אֵילִ֧ם,καὶ
מְאָדָּמִ֛ים,δέρματα
וְעֹרֹ֥ת,ὑακίνθινα
תְּחָשִׁ֖ים,καὶ
וַעֲצֵ֥י,ξύλα
שִׁטִּֽים׃,ἄσηπτα
6,
שֶׁ֖מֶן,
לַמָּאֹ֑ר,
בְּשָׂמִים֙,
לְשֶׁ֣מֶן,
הַמִּשְׁחָ֔ה,
וְלִקְטֹ֖רֶת,
הַסַּמִּֽים׃,
7,7
,καὶ
,λίθους
,σαρδίου
,καὶ
,λίθους
,εἰς
,τὴν
,γλυφὴν
,εἰς
אַבְנֵי־שֹׁ֕הַם,τὴν
וְאַבְנֵ֖י,ἐπωμίδα
מִלֻּאִ֑ים,καὶ
לָאֵפֹ֖ד,τὸν
וְלַחֹֽשֶׁן׃,ποδήρη.
8,8
,καὶ
,ποιήσεις
,μοι
וְעָ֥שׂוּ,"ἁγίασμα,"
לִ֖י,καὶ
מִקְדָּ֑שׁ,ὀφθήσομαι
וְשָׁכַנְתִּ֖י,ἐν
בְּתוֹכָֽם׃,ὑμῖν·
9,9
,καὶ
,ποιήσεις
,μοι
,κατὰ
,"πάντα,"
,ὅσα
,ἐγώ
,σοι
,δεικνύω
,ἐν
,τῷ
כְּכֹ֗ל,"ὄρει,"
אֲשֶׁ֤ר,τὸ
אֲנִי֙,παράδειγμα
מַרְאֶ֣ה,τῆς
אוֹתְךָ֔,σκηνῆς
אֵ֚ת,καὶ
תַּבְנִ֣ית,τὸ
הַמִּשְׁכָּ֔ן,παράδειγμα
וְאֵ֖ת,πάντων
תַּבְנִ֣ית,τῶν
כָּל־כֵּלָ֑יו,σκευῶν
וְכֵ֖ן,αὐτῆς·
תַּעֲשֽׂוּ׃,οὕτω
ס,ποιήσεις.
10,10
,Καὶ
,ποιήσεις
