key,word
1,1
LXX-Exod-001-001-001,ταῦτα
LXX-Exod-001-001-002,τὰ
LXX-Exod-001-001-003,ὀνόματα
LXX-Exod-001-001-004,τῶν
LXX-Exod-001-001-005,υἱῶν
LXX-Exod-001-001-006,Ισραηλ
LXX-Exod-001-001-007,τῶν
LXX-Exod-001-001-008,εἰσπεπορευμένων
LXX-Exod-001-001-009,εἰς
LXX-Exod-001-001-010,Αἴγυπτον
LXX-Exod-001-001-011,ἅμα
LXX-Exod-001-001-012,Ιακωβ
LXX-Exod-001-001-013,τῷ
LXX-Exod-001-001-014,πατρὶ
LXX-Exod-001-001-015,αὐτῶν
LXX-Exod-001-001-016,ἕκαστος
LXX-Exod-001-001-017,πανοικίᾳ
LXX-Exod-001-001-018,αὐτῶν
LXX-Exod-001-001-019,εἰσήλθοσαν
2,2
LXX-Exod-001-002-001,Ρουβην
LXX-Exod-001-002-002,Συμεων
LXX-Exod-001-002-003,Λευι
LXX-Exod-001-002-004,Ιουδας
3,3
LXX-Exod-001-003-001,Ισσαχαρ
LXX-Exod-001-003-002,Ζαβουλων
LXX-Exod-001-003-003,καὶ
LXX-Exod-001-003-004,Βενιαμιν
4,4
LXX-Exod-001-004-001,Δαν
LXX-Exod-001-004-002,καὶ
LXX-Exod-001-004-003,Νεφθαλι
LXX-Exod-001-004-004,Γαδ
LXX-Exod-001-004-005,καὶ
LXX-Exod-001-004-006,Ασηρ
5,5
LXX-Exod-001-005-001,Ιωσηφ
LXX-Exod-001-005-002,δὲ
LXX-Exod-001-005-003,ἦν
LXX-Exod-001-005-004,ἐν
LXX-Exod-001-005-005,Αἰγύπτῳ
LXX-Exod-001-005-006,ἦσαν
LXX-Exod-001-005-007,δὲ
LXX-Exod-001-005-008,πᾶσαι
LXX-Exod-001-005-009,ψυχαὶ
LXX-Exod-001-005-010,ἐξ
LXX-Exod-001-005-011,Ιακωβ
LXX-Exod-001-005-012,πέντε
LXX-Exod-001-005-013,καὶ
LXX-Exod-001-005-014,ἑβδομήκοντα
6,6
LXX-Exod-001-006-001,ἐτελεύτησεν
LXX-Exod-001-006-002,δὲ
LXX-Exod-001-006-003,Ιωσηφ
LXX-Exod-001-006-004,καὶ
LXX-Exod-001-006-005,πάντες
LXX-Exod-001-006-006,οἱ
LXX-Exod-001-006-007,ἀδελφοὶ
LXX-Exod-001-006-008,αὐτοῦ
LXX-Exod-001-006-009,καὶ
LXX-Exod-001-006-010,πᾶσα
LXX-Exod-001-006-011,ἡ
LXX-Exod-001-006-012,γενεὰ
LXX-Exod-001-006-013,ἐκείνη
7,7
LXX-Exod-001-007-001,οἱ
LXX-Exod-001-007-002,δὲ
LXX-Exod-001-007-003,υἱοὶ
LXX-Exod-001-007-004,Ισραηλ
LXX-Exod-001-007-005,ηὐξήθησαν
LXX-Exod-001-007-006,καὶ
LXX-Exod-001-007-007,ἐπληθύνθησαν
LXX-Exod-001-007-008,καὶ
LXX-Exod-001-007-009,χυδαῖοι
LXX-Exod-001-007-010,ἐγένοντο
LXX-Exod-001-007-011,καὶ
LXX-Exod-001-007-012,κατίσχυον
LXX-Exod-001-007-013,σφόδρα
LXX-Exod-001-007-014,σφόδρα
LXX-Exod-001-007-015,ἐπλήθυνεν
LXX-Exod-001-007-016,δὲ
LXX-Exod-001-007-017,ἡ
LXX-Exod-001-007-018,γῆ
LXX-Exod-001-007-019,αὐτούς
8,8
LXX-Exod-001-008-001,ἀνέστη
LXX-Exod-001-008-002,δὲ
LXX-Exod-001-008-003,βασιλεὺς
LXX-Exod-001-008-004,ἕτερος
LXX-Exod-001-008-005,ἐπ’
LXX-Exod-001-008-006,Αἴγυπτον
LXX-Exod-001-008-007,ὃς
LXX-Exod-001-008-008,οὐκ
LXX-Exod-001-008-009,ᾔδει
LXX-Exod-001-008-010,τὸν
LXX-Exod-001-008-011,Ιωσηφ
9,9
LXX-Exod-001-009-001,εἶπεν
LXX-Exod-001-009-002,δὲ
LXX-Exod-001-009-003,τῷ
LXX-Exod-001-009-004,ἔθνει
LXX-Exod-001-009-005,αὐτοῦ
LXX-Exod-001-009-006,ἰδοὺ
LXX-Exod-001-009-007,τὸ
LXX-Exod-001-009-008,γένος
LXX-Exod-001-009-009,τῶν
LXX-Exod-001-009-010,υἱῶν
LXX-Exod-001-009-011,Ισραηλ
LXX-Exod-001-009-012,μέγα
LXX-Exod-001-009-013,πλῆθος
LXX-Exod-001-009-014,καὶ
LXX-Exod-001-009-015,ἰσχύει
LXX-Exod-001-009-016,ὑπὲρ
LXX-Exod-001-009-017,ἡμᾶς
10,10
LXX-Exod-001-010-001,δεῦτε
LXX-Exod-001-010-002,οὖν
LXX-Exod-001-010-003,κατασοφισώμεθα
LXX-Exod-001-010-004,αὐτούς
LXX-Exod-001-010-005,μήποτε
LXX-Exod-001-010-006,πληθυνθῇ
LXX-Exod-001-010-007,καί
LXX-Exod-001-010-008,ἡνίκα
LXX-Exod-001-010-009,ἂν
LXX-Exod-001-010-010,συμβῇ
LXX-Exod-001-010-011,ἡμῖν
LXX-Exod-001-010-012,πόλεμος
LXX-Exod-001-010-013,προστεθήσονται
LXX-Exod-001-010-014,καὶ
LXX-Exod-001-010-015,οὗτοι
LXX-Exod-001-010-016,πρὸς
LXX-Exod-001-010-017,τοὺς
LXX-Exod-001-010-018,ὑπεναντίους
LXX-Exod-001-010-019,καὶ
LXX-Exod-001-010-020,ἐκπολεμήσαντες
LXX-Exod-001-010-021,ἡμᾶς
LXX-Exod-001-010-022,ἐξελεύσονται
LXX-Exod-001-010-023,ἐκ
LXX-Exod-001-010-024,τῆς
LXX-Exod-001-010-025,γῆς
11,11
LXX-Exod-001-011-001,καὶ
LXX-Exod-001-011-002,ἐπέστησεν
LXX-Exod-001-011-003,αὐτοῖς
LXX-Exod-001-011-004,ἐπιστάτας
LXX-Exod-001-011-005,τῶν
LXX-Exod-001-011-006,ἔργων
LXX-Exod-001-011-007,ἵνα
LXX-Exod-001-011-008,κακώσωσιν
LXX-Exod-001-011-009,αὐτοὺς
LXX-Exod-001-011-010,ἐν
LXX-Exod-001-011-011,τοῖς
LXX-Exod-001-011-012,ἔργοις
LXX-Exod-001-011-013,καὶ
LXX-Exod-001-011-014,ᾠκοδόμησαν
LXX-Exod-001-011-015,πόλεις
LXX-Exod-001-011-016,ὀχυρὰς
LXX-Exod-001-011-017,τῷ
LXX-Exod-001-011-018,Φαραω
LXX-Exod-001-011-019,τήν
LXX-Exod-001-011-020,τε
LXX-Exod-001-011-021,Πιθωμ
LXX-Exod-001-011-022,καὶ
LXX-Exod-001-011-023,Ραμεσση
LXX-Exod-001-011-024,καὶ
LXX-Exod-001-011-025,Ων
LXX-Exod-001-011-026,ἥ
LXX-Exod-001-011-027,ἐστιν
LXX-Exod-001-011-028,Ἡλίου
LXX-Exod-001-011-029,πόλις
12,12
LXX-Exod-001-012-001,καθότι
LXX-Exod-001-012-002,δὲ
LXX-Exod-001-012-003,αὐτοὺς
LXX-Exod-001-012-004,ἐταπείνουν
LXX-Exod-001-012-005,τοσούτῳ
LXX-Exod-001-012-006,πλείους
LXX-Exod-001-012-007,ἐγίνοντο
LXX-Exod-001-012-008,καὶ
LXX-Exod-001-012-009,ἴσχυον
LXX-Exod-001-012-010,σφόδρα
LXX-Exod-001-012-011,σφόδρα
LXX-Exod-001-012-012,καὶ
LXX-Exod-001-012-013,ἐβδελύσσοντο
LXX-Exod-001-012-014,οἱ
LXX-Exod-001-012-015,Αἰγύπτιοι
LXX-Exod-001-012-016,ἀπὸ
LXX-Exod-001-012-017,τῶν
LXX-Exod-001-012-018,υἱῶν
LXX-Exod-001-012-019,Ισραηλ
13,13
LXX-Exod-001-013-001,καὶ
LXX-Exod-001-013-002,κατεδυνάστευον
LXX-Exod-001-013-003,οἱ
