key,word,verse,word_num,lemma,root,strongs,morph,morphology,Part of Speech,Tense,Voice,Mood,Person,Number,Case,Gender,xlit,betacode
1,1,1,,,,,,,,,,,,,,,,
LXX-Judg-005-001-001,καὶ,1,1,strong:G2532,καί,G2532,packard:C,C,Conjunction,,,,,,,,betacode:KAI\,KAI\
LXX-Judg-005-001-002,ᾖσαν,1,2,,,,packard:V9-IAI3P,V9-IAI3P,Verb,Imperfect,Active,Indicative,3,Plural,,,betacode:H)=|SAN,H)=|SAN
LXX-Judg-005-001-003,Δεββωρα,1,3,,,,packard:N-NSF,N-NSF,Noun,,,,,Singular,Nominative,Feminine,betacode:*DEBBWRA,*DEBBWRA
LXX-Judg-005-001-004,καὶ,1,4,strong:G2532,καί,G2532,packard:C,C,Conjunction,,,,,,,,betacode:KAI\,KAI\
LXX-Judg-005-001-005,Βαρακ,1,5,,,,packard:N-NSM,N-NSM,Noun,,,,,Singular,Nominative,Masculine,betacode:*BARAK,*BARAK
LXX-Judg-005-001-006,υἱὸς,1,6,strong:G5207,υἱός,G5207,packard:N2-NSM,N2-NSM,Noun,,,,,Singular,Nominative,Masculine,betacode:UI(O\S,UI(O\S
LXX-Judg-005-001-007,Αβινεεμ,1,7,,,,packard:N-GSM,N-GSM,Noun,,,,,Singular,Genitive,Masculine,betacode:*ABINEEM,*ABINEEM
LXX-Judg-005-001-008,ἐν,1,8,strong:G1722,ἐν,G1722,packard:P,P,Preposition,,,,,,,,betacode:E)N,E)N
LXX-Judg-005-001-009,τῇ,1,9,strong:G3588,ὁ,G3588,packard:RA-DSF,RA-DSF,Article,,,,,Singular,Dative,Feminine,betacode:TH=|,TH=|
LXX-Judg-005-001-010,ἡμέρᾳ,1,10,strong:G2250,ἡμέρα,G2250,packard:N1A-DSF,N1A-DSF,Noun,,,,,Singular,Dative,Feminine,betacode:H(ME/RA|,H(ME/RA|
LXX-Judg-005-001-011,ἐκείνῃ,1,11,strong:G1565,ἐκεῖνος,G1565,packard:RD-DSF,RD-DSF,Demonstrative Pronoun,,,,,Singular,Dative,Feminine,betacode:E)KEI/NH|,E)KEI/NH|
LXX-Judg-005-001-012,λέγοντες,1,12,strong:G3004,λέγω,G3004,packard:V1-PAPNPM,V1-PAPNPM,Verb,Present,Active,Participle,,Plural,Nominative,Masculine,betacode:LE/GONTES,LE/GONTES
LXX-Judg-005-001-013,καὶ,1,13,strong:G2532,καί,G2532,packard:C,C,Conjunction,,,,,,,,betacode:KAI\,KAI\
LXX-Judg-005-001-014,ᾖσεν,1,14,strong:G103,,G103,packard:VAI-AAI3S,VAI-AAI3S,Verb,Aorist,Active,Indicative,3,Singular,,,betacode:H)=|SEN,H)=|SEN
LXX-Judg-005-001-015,Δεββωρα,1,15,,,,packard:N-NSF,N-NSF,Noun,,,,,Singular,Nominative,Feminine,betacode:*DEBBWRA,*DEBBWRA
LXX-Judg-005-001-016,καὶ,1,16,strong:G2532,καί,G2532,packard:C,C,Conjunction,,,,,,,,betacode:KAI\,KAI\
LXX-Judg-005-001-017,Βαρακ,1,17,,,,packard:N-NSM,N-NSM,Noun,,,,,Singular,Nominative,Masculine,betacode:*BARAK,*BARAK
LXX-Judg-005-001-018,υἱὸς,1,18,strong:G5207,υἱός,G5207,packard:N2-NSM,N2-NSM,Noun,,,,,Singular,Nominative,Masculine,betacode:UI(O\S,UI(O\S
LXX-Judg-005-001-019,Αβινεεμ,1,19,,,,packard:N-GSM,N-GSM,Noun,,,,,Singular,Genitive,Masculine,betacode:*ABINEEM,*ABINEEM
LXX-Judg-005-001-020,ἐν,1,20,strong:G1722,ἐν,G1722,packard:P,P,Preposition,,,,,,,,betacode:E)N,E)N
LXX-Judg-005-001-021,τῇ,1,21,strong:G3588,ὁ,G3588,packard:RA-DSF,RA-DSF,Article,,,,,Singular,Dative,Feminine,betacode:TH=|,TH=|
LXX-Judg-005-001-022,ἡμέρᾳ,1,22,strong:G2250,ἡμέρα,G2250,packard:N1A-DSF,N1A-DSF,Noun,,,,,Singular,Dative,Feminine,betacode:H(ME/RA|,H(ME/RA|
LXX-Judg-005-001-023,ἐκείνῃ,1,23,strong:G1565,ἐκεῖνος,G1565,packard:RD-DSF,RD-DSF,Demonstrative Pronoun,,,,,Singular,Dative,Feminine,betacode:E)KEI/NH|,E)KEI/NH|
LXX-Judg-005-001-024,καὶ,1,24,strong:G2532,καί,G2532,packard:C,C,Conjunction,,,,,,,,betacode:KAI\,KAI\
LXX-Judg-005-001-025,εἶπεν,1,25,,,,packard:VBI-AAI3S,VBI-AAI3S,Verb,Aorist,Active,Indicative,3,Singular,,,betacode:EI)=PEN,EI)=PEN
2,2,2,,,,,,,,,,,,,,,,
LXX-Judg-005-002-001,ἀπεκαλύφθη,2,1,,,,packard:VVI-API3S,VVI-API3S,Verb,Aorist,Passive,Indicative,3,Singular,,,betacode:A)PEKALU/FQH,A)PEKALU/FQH
LXX-Judg-005-002-002,ἀποκάλυμμα,2,2,,,,packard:N3M-NSN,N3M-NSN,Noun,,,,,Singular,Nominative,Neuter,betacode:A)POKA/LUMMA,A)POKA/LUMMA
LXX-Judg-005-002-003,ἐν,2,3,strong:G1722,ἐν,G1722,packard:P,P,Preposition,,,,,,,,betacode:E)N,E)N
LXX-Judg-005-002-004,Ισραηλ,2,4,strong:G2474,Ἰσραήλ,G2474,packard:N-DSM,N-DSM,Noun,,,,,Singular,Dative,Masculine,betacode:*ISRAHL,*ISRAHL
LXX-Judg-005-002-005,ἐν,2,5,strong:G1722,ἐν,G1722,packard:P,P,Preposition,,,,,,,,betacode:E)N,E)N
LXX-Judg-005-002-006,τῷ,2,6,strong:G3588,ὁ,G3588,packard:RA-DSN,RA-DSN,Article,,,,,Singular,Dative,Neuter,betacode:TW=|,TW=|
LXX-Judg-005-002-007,ἑκουσιασθῆναι,2,7,,,,packard:VS-APN,VS-APN,Verb,Aorist,Passive,Infinitive,,,,,betacode:E(KOUSIASQH=NAI,E(KOUSIASQH=NAI
