LXX_key,LXX,WLC_key,WLC
1,1,1,1
LXX-Exod-025-001-001,καὶ,,
LXX-Exod-025-001-002,ἐλάλησεν,WLC-Exod-025-001-001,וַיְדַבֵּ֥ר
LXX-Exod-025-001-003,κύριος,WLC-Exod-025-001-002,יְהוָ֖ה
LXX-Exod-025-001-004,πρὸς,WLC-Exod-025-001-003,אֶל
LXX-Exod-025-001-005,Μωυσῆν,WLC-Exod-025-001-004,מֹשֶׁ֥ה
LXX-Exod-025-001-006,λέγων,WLC-Exod-025-001-005,לֵּאמֹֽר
2,2,2,2
LXX-Exod-025-002-001,εἰπὸν,,
LXX-Exod-025-002-002,τοῖς,,
LXX-Exod-025-002-003,υἱοῖς,,
LXX-Exod-025-002-004,Ισραηλ,,
LXX-Exod-025-002-005,καὶ,WLC-Exod-025-002-001,דַּבֵּר֙
LXX-Exod-025-002-006,λάβετέ,WLC-Exod-025-002-002,אֶל
LXX-Exod-025-002-007,μοι,WLC-Exod-025-002-003,בְּנֵ֣י
LXX-Exod-025-002-008,ἀπαρχὰς,WLC-Exod-025-002-004,יִשְׂרָאֵ֔ל
LXX-Exod-025-002-009,παρὰ,WLC-Exod-025-002-005,וְיִקְחוּ
LXX-Exod-025-002-010,πάντων,WLC-Exod-025-002-006,לִ֖י
LXX-Exod-025-002-011,οἷς,WLC-Exod-025-002-007,תְּרוּמָ֑ה
LXX-Exod-025-002-012,ἂν,WLC-Exod-025-002-008,מֵאֵ֤ת
LXX-Exod-025-002-013,δόξῃ,WLC-Exod-025-002-009,כָּל
LXX-Exod-025-002-014,τῇ,WLC-Exod-025-002-010,אִישׁ֙
LXX-Exod-025-002-015,καρδίᾳ,WLC-Exod-025-002-011,אֲשֶׁ֣ר
LXX-Exod-025-002-016,καὶ,WLC-Exod-025-002-012,יִדְּבֶ֣נּוּ
LXX-Exod-025-002-017,λήμψεσθε,WLC-Exod-025-002-013,לִבּ֔וֹ
LXX-Exod-025-002-018,τὰς,WLC-Exod-025-002-014,תִּקְח֖וּ
LXX-Exod-025-002-019,ἀπαρχάς,WLC-Exod-025-002-015,אֶת
LXX-Exod-025-002-020,μου,WLC-Exod-025-002-016,תְּרוּמָתִֽי
3,3,3,3
LXX-Exod-025-003-001,καὶ,,
LXX-Exod-025-003-002,αὕτη,,
LXX-Exod-025-003-003,ἐστὶν,,
LXX-Exod-025-003-004,ἡ,,
LXX-Exod-025-003-005,ἀπαρχή,,
LXX-Exod-025-003-006,ἣν,,
LXX-Exod-025-003-007,λήμψεσθε,WLC-Exod-025-003-001,וְזֹאת֙
