key,word,verse,word_num,lemma,strongs,morph,morphology,Part of Speech,Tense,Voice,Mood,Person,Number,Case,Gender,xlit,betacode
1,1,1,,,,,,,,,,,,,,,
WLC-Exod-025-001-001,וַיְדַבֵּ֥ר,1,1,c/1696,H1696,HC/Vpw3ms,HC/Vpw3ms,Verb,Sequential imperfect,Piel,Indicative,3,Singular,,Masculine,,
WLC-Exod-025-001-002,יְהוָ֖ה,1,2,3068,H3068,HNp,HNp,Noun (Proper name),,,,,,,,,
WLC-Exod-025-001-003,אֶל,1,3,413,H413,HR,HR,Preposition,,,,,,,,,
WLC-Exod-025-001-004,מֹשֶׁ֥ה,1,4,4872,H4872,HNp,HNp,Noun (Proper name),,,,,,,,,
WLC-Exod-025-001-005,לֵּאמֹֽר,1,5,l/559,H559,HR/Vqc,HR/Vqc,Verb,Infinitive construct,Qal,Infinitive,,,,,,
2,2,2,,,,,,,,,,,,,,,
WLC-Exod-025-002-001,דַּבֵּר֙,2,1,1696,H1696,HVpv2ms,HVpv2ms,Verb,Imperative,Piel,Imperative,2,Singular,,Masculine,,
WLC-Exod-025-002-002,אֶל,2,2,413,H413,HR,HR,Preposition,,,,,,,,,
WLC-Exod-025-002-003,בְּנֵ֣י,2,3,1121 a,H1121,HNcmpc,HNcmpc,Noun (Common),,,,,Plural,Construct,Masculine,,
WLC-Exod-025-002-004,יִשְׂרָאֵ֔ל,2,4,3478,H3478,HNp,HNp,Noun (Proper name),,,,,,,,,
WLC-Exod-025-002-005,וְיִקְחוּ,2,5,c/3947,H3947,HC/Vqj3mp,HC/Vqj3mp,Verb,Jussive,Qal,Jussive,3,Plural,,Masculine,,
WLC-Exod-025-002-006,לִ֖י,2,6,l,,HR/Sp1cs,HR/Sp1cs,Suffix (Pronominal),,,,1,Singular,,Common,,
WLC-Exod-025-002-007,תְּרוּמָ֑ה,2,7,8641,H8641,HNcfsa,HNcfsa,Noun (Common),,,,,Singular,Absolute,Feminine,,
WLC-Exod-025-002-008,מֵאֵ֤ת,2,8,m/854,H854,HR/R,HR/R,Preposition,,,,,,,,,
WLC-Exod-025-002-009,כָּל,2,9,3605,H3605,HNcmsc,HNcmsc,Noun (Common),,,,,Singular,Construct,Masculine,,
WLC-Exod-025-002-010,אִישׁ֙,2,10,376,H376,HNcmsa,HNcmsa,Noun (Common),,,,,Singular,Absolute,Masculine,,
WLC-Exod-025-002-011,אֲשֶׁ֣ר,2,11,834 a,H834,HTr,HTr,Particle (Relative),,,,,,,,,
WLC-Exod-025-002-012,יִדְּבֶ֣נּוּ,2,12,5068,H5068,HVqi3ms/Sp3ms,HVqi3ms/Sp3ms,Suffix (Pronominal),Imperfect,Qal,Indicative,3,Singular,,Masculine,,
WLC-Exod-025-002-013,לִבּ֔וֹ,2,13,3820 a,H3820,HNcmsc/Sp3ms,HNcmsc/Sp3ms,Suffix (Pronominal),,,,3,Singular,Construct,Masculine,,
WLC-Exod-025-002-014,תִּקְח֖וּ,2,14,3947,H3947,HVqi2mp,HVqi2mp,Verb,Imperfect,Qal,Indicative,2,Plural,,Masculine,,
WLC-Exod-025-002-015,אֶת,2,15,853,H853,HTo,HTo,Particle (Direct object marker),,,,,,,,,
WLC-Exod-025-002-016,תְּרוּמָתִֽי,2,16,8641,H8641,HNcfsc/Sp1cs,HNcfsc/Sp1cs,Suffix (Pronominal),,,,1,Singular,Construct,Common,,
3,3,3,,,,,,,,,,,,,,,
WLC-Exod-025-003-001,וְזֹאת֙,3,1,c/2063,H2063,HC/Pdxfs,HC/Pdxfs,Pronoun (Demonstrative),,,,x,Singular,,Feminine,,
WLC-Exod-025-003-002,הַתְּרוּמָ֔ה,3,2,d/8641,H8641,HTd/Ncfsa,HTd/Ncfsa,Noun (Common),,,,,Singular,Absolute,Feminine,,
WLC-Exod-025-003-003,אֲשֶׁ֥ר,3,3,834 a,H834,HTr,HTr,Particle (Relative),,,,,,,,,
WLC-Exod-025-003-004,תִּקְח֖וּ,3,4,3947,H3947,HVqi2mp,HVqi2mp,Verb,Imperfect,Qal,Indicative,2,Plural,,Masculine,,
WLC-Exod-025-003-005,מֵאִתָּ֑ם,3,5,m/854,H854,HR/R/Sp3mp,HR/R/Sp3mp,Suffix (Pronominal),,,,3,Plural,,Masculine,,
WLC-Exod-025-003-006,זָהָ֥ב,3,6,2091,H2091,HNcmsa,HNcmsa,Noun (Common),,,,,Singular,Absolute,Masculine,,
WLC-Exod-025-003-007,וָכֶ֖סֶף,3,7,c/3701,H3701,HC/Ncmsa,HC/Ncmsa,Noun (Common),,,,,Singular,Absolute,Masculine,,
WLC-Exod-025-003-008,וּנְחֹֽשֶׁת,3,8,c/5178 a,H5178,HC/Ncfsa,HC/Ncfsa,Noun (Common),,,,,Singular,Absolute,Feminine,,
4,4,4,,,,,,,,,,,,,,,
WLC-Exod-025-004-001,וּתְכֵ֧לֶת,4,1,c/8504,H8504,HC/Ncfsa,HC/Ncfsa,Noun (Common),,,,,Singular,Absolute,Feminine,,
WLC-Exod-025-004-002,וְאַרְגָּמָ֛ן,4,2,c/713,H713,HC/Ncmsa,HC/Ncmsa,Noun (Common),,,,,Singular,Absolute,Masculine,,
